Date,gme,aal,aapl,amd,aph,bili,clov,dkng,ecor,meta,ino,jd,msft,mvis,cenn,plug,sndl,tlry,tsla,wkhs,zm
2021-07-14 00:00:00-04:00,15655200,55139500,127050800,28108500,2809600,2190800,26250100,13782000,82160,13894200,3685100,9620600,23113700,5095700,1564267,23195900,9320760,27927000,64923600,9044500,2599600
2021-07-15 00:00:00-04:00,17194400,34187500,106820300,38944700,3395200,3376800,29125800,11560400,74180,14781600,6238700,9169900,22604200,4395900,1655127,22064100,10691470,24352300,60628800,10315400,2399700
2021-07-16 00:00:00-04:00,13151600,34523500,93251400,35860700,6456300,1579600,17391800,13752200,86940,11026100,3775300,6527700,26186800,3608800,1232580,16723600,7617260,20527900,49113000,8041100,1887100
2021-07-19 00:00:00-04:00,9747600,63985800,121434600,39244800,3663600,2288500,20086800,13045600,55507,14372300,5789100,9476900,32935600,4307500,1631633,21409300,11072320,21065900,63891300,7181400,7787600
2021-07-20 00:00:00-04:00,12404400,46295400,96350000,28089000,2238400,1862900,24279400,8024800,2987887,11024300,5809000,6612400,26259700,3483700,6312160,15859600,10540850,17667400,46461300,5990300,4061100
2021-07-21 00:00:00-04:00,8916800,52282600,74993500,29469900,3462800,2855000,30192500,15419000,739953,9279700,3259500,6176000,24364300,4484900,2662067,16103400,11276220,15887200,41859900,7431200,2953400
2021-07-22 00:00:00-04:00,5652000,39028300,77338200,33730100,2458700,6764300,44877800,6725300,269673,12385400,2683200,4531900,23384100,3581600,1210487,13085000,8052420,13232300,45317100,4931700,3096000
2021-07-23 00:00:00-04:00,5264800,29379200,71447400,31708900,2096600,15424900,28133900,7041700,144187,33694300,3446600,20290000,22768100,3201300,1245440,13600600,8486340,12735300,43814700,4985100,2874300
2021-07-26 00:00:00-04:00,5042400,31508800,72434100,27668500,2371800,12304200,19174100,6437000,157913,14925200,2695600,39967600,23176100,2731900,1465093,14360500,9663360,13567300,76009800,8211800,3842000
2021-07-27 00:00:00-04:00,4859200,30301300,104818600,69427000,2816100,15408200,14958400,8103100,231280,15705400,2705900,44229200,33604100,4030100,1125200,15319800,9914350,24500600,98439900,5417600,3080000
2021-07-28 00:00:00-04:00,16403200,20077400,118931200,140561000,4609900,10074400,16262700,9487700,347293,29676900,3230100,33628700,33566900,3395000,1507940,15813900,20262640,116127500,48019800,5066100,1870700
2021-07-29 00:00:00-04:00,8960000,19391300,56699500,164091800,3539500,5803300,9345900,7788500,71287,33413200,2201700,17065000,18168300,2499700,1033373,10955100,9232820,46247200,91183800,17262500,6662100
2021-07-30 00:00:00-04:00,9508400,31284000,70440600,125632000,2475000,5440400,7460600,7637300,53680,15976200,2009400,9948000,20944800,2629300,825967,10447600,5739180,22145300,88969200,5616300,2872500
2021-08-02 00:00:00-04:00,10131600,27151300,62880000,115581900,3237600,4778100,19707900,5941800,51460,13180400,2533100,8422500,16267400,3453200,2281200,11015000,6545640,13522000,100847400,5502600,3163600
2021-08-03 00:00:00-04:00,57802400,36572600,64786600,157723100,3518800,7142700,17597200,6279600,79380,12406100,2888900,8509500,17879000,7135900,1062927,10573800,6691100,14151900,64860900,7420900,2190900
2021-08-04 00:00:00-04:00,9574000,30815400,56368300,225368700,2179300,3657300,12343500,5284900,86000,14180600,5187600,8074900,16191300,6203800,1705080,13394900,9028050,16313000,51007800,5354300,5563800
2021-08-05 00:00:00-04:00,9648400,42900900,46397700,137860900,1899700,5892800,10743200,11230600,51373,10247200,6676300,7485500,13900200,24926800,1474840,16191800,10110360,17031900,38758800,4357100,3427600
2021-08-06 00:00:00-04:00,5410800,28281000,54126800,143899000,1529300,4790500,7400900,32429800,1722220,8925000,4017900,6977600,16589300,14923000,1423847,33536700,6436490,11647800,46869000,6570900,3092000
2021-08-09 00:00:00-04:00,8996800,32047600,48908700,115749900,1480100,3985000,25819600,27050600,225120,7798900,8240500,6342000,16117600,10065500,2079680,38697900,10269060,14547100,44145900,12119700,2306600
2021-08-10 00:00:00-04:00,6493200,31320900,69023100,113012300,1341600,6795300,30104400,19360300,196667,7469900,10881000,5195300,18616600,4418100,1557233,31882900,6923700,13606800,40296900,9055900,2806500
